Basic Results

Total entries = 13259515
Total unique entries = 13259433

228 = 1 (0.0%)
229 = 1 (0.0%)
230 = 1 (0.0%)
232 = 1 (0.0%)
238 = 1 (0.0%)
241 = 1 (0.0%)
242 = 1 (0.0%)
243 = 1 (0.0%)
250 = 1 (0.0%)

    |                                                                   
    |                                                                   
    |                                                                   
    ||                                                                  
   |||                                                                  
   |||                                                                  
   |||                                                                  
   |||                                                                  
   |||                                                                  
   ||||                                                                 
   ||||                                                                 
   ||||                                                                 
   |||||                                                                
  ||||||                                                                
  ||||||                                                                
||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
000000000011111111112222222222333333333344444444445555555555666666666677
012345678901234567890123456789012345678901234567890123456789012345678901

One to six characters = 54951 (0.41%)
One to eight characters = 496559 (3.74%)
More than eight characters = 12762956 (96.26%)

Only lowercase alpha = 0 (0.0%)
Only uppercase alpha = 0 (0.0%)
Only alpha = 0 (0.0%)
Only numeric = 0 (0.0%)

First capital last symbol = 0 (0.0%)
First capital last number = 0 (0.0%)

Single digit on the end = 32633 (0.25%)
Two digits on the end = 45298 (0.34%)
Three digits on the end = 22926 (0.17%)

Last number
0 = 19035 (0.14%)
1 = 34740 (0.26%)
2 = 22171 (0.17%)
3 = 23735 (0.18%)
4 = 17705 (0.13%)
5 = 17734 (0.13%)
6 = 16600 (0.13%)
7 = 17773 (0.13%)
8 = 16187 (0.12%)
9 = 17801 (0.13%)

 |                                                                      
 |                                                                      
 |                                                                      
 |                                                                      
 |                                                                      
 |||                                                                    
 |||                                                                    
|||||| | |                                                              
||||||||||                                                              
||||||||||                                                              
||||||||||                                                              
||||||||||                                                              
||||||||||                                                              
||||||||||                                                              
||||||||||                                                              
||||||||||                                                              
0123456789

Last digit
1 = 34740 (0.26%)
3 = 23735 (0.18%)
2 = 22171 (0.17%)
0 = 19035 (0.14%)
9 = 17801 (0.13%)
7 = 17773 (0.13%)
5 = 17734 (0.13%)
4 = 17705 (0.13%)
6 = 16600 (0.13%)
8 = 16187 (0.12%)

Last 2 digits (Top 100)
23 = 5621 (0.04%)
12 = 3734 (0.03%)
00 = 3707 (0.03%)
01 = 3696 (0.03%)
11 = 3638 (0.03%)
10 = 2866 (0.02%)
21 = 2636 (0.02%)
07 = 2628 (0.02%)
13 = 2605 (0.02%)
93 = 2561 (0.02%)
22 = 2525 (0.02%)
09 = 2366 (0.02%)
77 = 2339 (0.02%)
02 = 2337 (0.02%)
05 = 2292 (0.02%)
88 = 2281 (0.02%)
03 = 2266 (0.02%)
89 = 2218 (0.02%)
08 = 2204 (0.02%)
06 = 2203 (0.02%)
99 = 2159 (0.02%)
14 = 2093 (0.02%)
04 = 2038 (0.02%)
90 = 2037 (0.02%)
20 = 1984 (0.01%)
87 = 1979 (0.01%)
15 = 1974 (0.01%)
24 = 1934 (0.01%)
69 = 1912 (0.01%)
34 = 1905 (0.01%)
91 = 1852 (0.01%)
25 = 1828 (0.01%)
92 = 1797 (0.01%)
16 = 1791 (0.01%)
33 = 1775 (0.01%)
19 = 1768 (0.01%)
86 = 1750 (0.01%)
66 = 1731 (0.01%)
45 = 1715 (0.01%)
18 = 1701 (0.01%)
17 = 1690 (0.01%)
56 = 1645 (0.01%)
85 = 1618 (0.01%)
55 = 1582 (0.01%)
78 = 1562 (0.01%)
83 = 1562 (0.01%)
84 = 1551 (0.01%)
82 = 1547 (0.01%)
81 = 1520 (0.01%)
39 = 1512 (0.01%)
98 = 1506 (0.01%)
94 = 1488 (0.01%)
80 = 1456 (0.01%)
32 = 1453 (0.01%)
28 = 1448 (0.01%)
26 = 1420 (0.01%)
96 = 1411 (0.01%)
27 = 1402 (0.01%)
79 = 1384 (0.01%)
95 = 1369 (0.01%)
30 = 1348 (0.01%)
44 = 1338 (0.01%)
31 = 1332 (0.01%)
97 = 1322 (0.01%)
76 = 1297 (0.01%)
65 = 1289 (0.01%)
75 = 1285 (0.01%)
47 = 1283 (0.01%)
67 = 1280 (0.01%)
29 = 1268 (0.01%)
63 = 1236 (0.01%)
54 = 1231 (0.01%)
50 = 1228 (0.01%)
43 = 1190 (0.01%)
74 = 1187 (0.01%)
72 = 1183 (0.01%)
71 = 1183 (0.01%)
51 = 1160 (0.01%)
35 = 1154 (0.01%)
73 = 1146 (0.01%)
57 = 1145 (0.01%)
60 = 1132 (0.01%)
52 = 1128 (0.01%)
64 = 1116 (0.01%)
42 = 1114 (0.01%)
58 = 1102 (0.01%)
70 = 1094 (0.01%)
53 = 1093 (0.01%)
62 = 1077 (0.01%)
41 = 1075 (0.01%)
68 = 1070 (0.01%)
46 = 1059 (0.01%)
40 = 1048 (0.01%)
36 = 1047 (0.01%)
37 = 1028 (0.01%)
61 = 1024 (0.01%)
59 = 1018 (0.01%)
48 = 997 (0.01%)
49 = 991 (0.01%)
38 = 978 (0.01%)

Last 3 digits (Top 100)
123 = 3478 (0.03%)
000 = 1565 (0.01%)
001 = 950 (0.01%)
007 = 943 (0.01%)
002 = 761 (0.01%)
003 = 742 (0.01%)
234 = 740 (0.01%)
777 = 717 (0.01%)
111 = 695 (0.01%)
005 = 581 (0.0%)
009 = 580 (0.0%)
006 = 567 (0.0%)
101 = 557 (0.0%)
999 = 551 (0.0%)
010 = 548 (0.0%)
004 = 544 (0.0%)
666 = 544 (0.0%)
008 = 513 (0.0%)
345 = 507 (0.0%)
321 = 488 (0.0%)
456 = 481 (0.0%)
987 = 460 (0.0%)
991 = 432 (0.0%)
100 = 414 (0.0%)
992 = 401 (0.0%)
990 = 400 (0.0%)
989 = 394 (0.0%)
222 = 372 (0.0%)
988 = 365 (0.0%)
993 = 345 (0.0%)
789 = 340 (0.0%)
333 = 339 (0.0%)
011 = 338 (0.0%)
986 = 336 (0.0%)
555 = 330 (0.0%)
985 = 328 (0.0%)
012 = 309 (0.0%)
994 = 309 (0.0%)
984 = 307 (0.0%)
996 = 306 (0.0%)
983 = 305 (0.0%)
998 = 298 (0.0%)
212 = 292 (0.0%)
112 = 291 (0.0%)
888 = 289 (0.0%)
014 = 288 (0.0%)
997 = 281 (0.0%)
981 = 276 (0.0%)
980 = 273 (0.0%)
995 = 272 (0.0%)
121 = 272 (0.0%)
122 = 270 (0.0%)
982 = 270 (0.0%)
013 = 270 (0.0%)
015 = 252 (0.0%)
200 = 252 (0.0%)
979 = 251 (0.0%)
911 = 246 (0.0%)
647 = 246 (0.0%)
969 = 244 (0.0%)
213 = 236 (0.0%)
978 = 223 (0.0%)
420 = 220 (0.0%)
678 = 218 (0.0%)
444 = 216 (0.0%)
977 = 215 (0.0%)
124 = 212 (0.0%)
125 = 212 (0.0%)
313 = 211 (0.0%)
110 = 203 (0.0%)
890 = 202 (0.0%)
228 = 199 (0.0%)
102 = 198 (0.0%)
163 = 198 (0.0%)
567 = 196 (0.0%)
963 = 192 (0.0%)
210 = 191 (0.0%)
975 = 190 (0.0%)
211 = 190 (0.0%)
973 = 187 (0.0%)
312 = 186 (0.0%)
711 = 186 (0.0%)
972 = 186 (0.0%)
500 = 184 (0.0%)
105 = 184 (0.0%)
201 = 180 (0.0%)
323 = 177 (0.0%)
103 = 176 (0.0%)
020 = 175 (0.0%)
305 = 174 (0.0%)
974 = 172 (0.0%)
976 = 171 (0.0%)
120 = 171 (0.0%)
231 = 171 (0.0%)
143 = 171 (0.0%)
214 = 170 (0.0%)
106 = 169 (0.0%)
311 = 169 (0.0%)
970 = 169 (0.0%)
324 = 169 (0.0%)

Last 4 digits (Top 100)
2000 = 874 (0.01%)
2002 = 584 (0.0%)
2003 = 563 (0.0%)
1234 = 530 (0.0%)
2001 = 514 (0.0%)
2006 = 435 (0.0%)
2004 = 424 (0.0%)
2005 = 416 (0.0%)
2009 = 392 (0.0%)
2007 = 351 (0.0%)
2345 = 350 (0.0%)
2010 = 337 (0.0%)
1991 = 330 (0.0%)
2008 = 325 (0.0%)
1990 = 308 (0.0%)
1992 = 285 (0.0%)
1987 = 279 (0.0%)
1989 = 274 (0.0%)
1988 = 265 (0.0%)
1993 = 255 (0.0%)
1986 = 248 (0.0%)
1111 = 245 (0.0%)
1985 = 238 (0.0%)
3456 = 231 (0.0%)
1984 = 229 (0.0%)
1994 = 220 (0.0%)
1983 = 218 (0.0%)
1996 = 216 (0.0%)
1997 = 208 (0.0%)
1998 = 207 (0.0%)
1995 = 190 (0.0%)
1981 = 187 (0.0%)
1999 = 187 (0.0%)
1982 = 186 (0.0%)
3647 = 178 (0.0%)
1980 = 177 (0.0%)
2011 = 175 (0.0%)
2014 = 173 (0.0%)
2012 = 173 (0.0%)
1979 = 164 (0.0%)
0000 = 159 (0.0%)
6789 = 145 (0.0%)
4321 = 144 (0.0%)
2015 = 139 (0.0%)
1978 = 139 (0.0%)
3123 = 137 (0.0%)
1212 = 134 (0.0%)
2013 = 134 (0.0%)
1977 = 131 (0.0%)
1975 = 118 (0.0%)
1972 = 115 (0.0%)
1973 = 112 (0.0%)
1976 = 111 (0.0%)
1000 = 108 (0.0%)
7777 = 108 (0.0%)
1969 = 104 (0.0%)
3000 = 103 (0.0%)
1974 = 100 (0.0%)
1970 = 93 (0.0%)
1971 = 92 (0.0%)
5678 = 90 (0.0%)
5555 = 87 (0.0%)
1123 = 86 (0.0%)
0001 = 85 (0.0%)
9999 = 83 (0.0%)
2222 = 82 (0.0%)
1967 = 80 (0.0%)
4567 = 79 (0.0%)
7890 = 73 (0.0%)
1968 = 72 (0.0%)
1010 = 71 (0.0%)
1965 = 70 (0.0%)
1964 = 70 (0.0%)
1963 = 70 (0.0%)
0123 = 68 (0.0%)
2016 = 66 (0.0%)
8888 = 65 (0.0%)
6969 = 65 (0.0%)
3333 = 64 (0.0%)
1962 = 61 (0.0%)
2323 = 61 (0.0%)
4444 = 60 (0.0%)
1960 = 59 (0.0%)
4123 = 58 (0.0%)
2123 = 58 (0.0%)
6666 = 58 (0.0%)
1961 = 57 (0.0%)
1966 = 57 (0.0%)
1958 = 56 (0.0%)
1122 = 54 (0.0%)
1231 = 53 (0.0%)
5123 = 52 (0.0%)
6123 = 52 (0.0%)
2121 = 52 (0.0%)
1313 = 50 (0.0%)
3321 = 49 (0.0%)
1957 = 49 (0.0%)
7123 = 49 (0.0%)
1001 = 48 (0.0%)
1959 = 48 (0.0%)

Last 5 digits (Top 100)
12345 = 312 (0.0%)
23456 = 198 (0.0%)
83647 = 170 (0.0%)
11111 = 124 (0.0%)
56789 = 121 (0.0%)
23123 = 94 (0.0%)
54321 = 91 (0.0%)
00000 = 77 (0.0%)
45678 = 60 (0.0%)
34567 = 59 (0.0%)
67890 = 48 (0.0%)
55555 = 40 (0.0%)
22222 = 37 (0.0%)
23321 = 36 (0.0%)
77777 = 35 (0.0%)
21212 = 34 (0.0%)
99999 = 32 (0.0%)
21992 = 28 (0.0%)
33333 = 25 (0.0%)
32000 = 24 (0.0%)
12002 = 23 (0.0%)
12312 = 22 (0.0%)
66666 = 22 (0.0%)
11991 = 21 (0.0%)
21993 = 21 (0.0%)
12003 = 21 (0.0%)
88888 = 21 (0.0%)
11992 = 20 (0.0%)
42000 = 20 (0.0%)
72000 = 20 (0.0%)
12005 = 19 (0.0%)
41991 = 19 (0.0%)
11987 = 19 (0.0%)
21990 = 19 (0.0%)
71991 = 18 (0.0%)
22002 = 18 (0.0%)
21994 = 18 (0.0%)
11990 = 18 (0.0%)
21988 = 18 (0.0%)
12123 = 18 (0.0%)
78910 = 18 (0.0%)
52000 = 18 (0.0%)
02003 = 17 (0.0%)
12000 = 17 (0.0%)
41986 = 17 (0.0%)
61991 = 17 (0.0%)
82002 = 17 (0.0%)
62003 = 17 (0.0%)
56123 = 17 (0.0%)
01984 = 17 (0.0%)
11980 = 17 (0.0%)
12233 = 17 (0.0%)
72003 = 17 (0.0%)
12001 = 16 (0.0%)
21982 = 16 (0.0%)
